label,p,q,z,mask,descent_frac,max_violation,first_violation_iter
phistar_50_76,2,0,2,0++0,0.6666666666666666,0.050773184279793084,1
phistar_50_76,2,0,2,+00+,0.16666666666666666,22.921866221637256,1
phistar_50_76,2,0,2,+0+0,0.6666666666666666,1.5888772984222843,1
phistar_50_76,2,0,2,++00,0.6666666666666666,1.6483793596225897,1
phistar_50_76,0,2,2,--00,0.3333333333333333,39.38223215716052,5
phistar_50_76,0,2,2,-0-0,0.3333333333333333,39.239263450872194,5
phistar_50_76,0,2,2,-00-,0.8333333333333334,20.239263450872198,9
phistar_50_76,0,2,2,0--0,0.3333333333333333,0.14296870628732722,5
phistar_50_76,0,2,2,0-0-,1.0,-1.055137622741549,-1
phistar_50_76,0,2,2,00--,1.0,-0.9956355615412444,-1
phistar_50_76,1,1,2,-00+,0.08333333333333333,58.239263450872194,2
phistar_50_76,1,1,2,-0+0,0.3333333333333333,39.239263450872194,5
phistar_50_76,1,1,2,-+00,0.3333333333333333,39.096294744583865,5
phistar_50_76,1,1,2,0-0+,0.0,23.022441079455685,1
phistar_50_76,1,1,2,0-+0,0.3333333333333333,0.14296870628732722,5
phistar_50_76,1,1,2,00-+,0.0,22.999999999999,1
phistar_50_76,1,1,2,00+-,1.0,-1.0043644384607557,-1
phistar_50_76,1,1,2,0+-0,0.6666666666666666,0.05950206119930438,1
phistar_50_76,1,1,2,0+0-,1.0,-0.9448623772604513,-1
phistar_50_76,1,1,2,+-00,0.6666666666666666,1.5381041141414986,1
phistar_50_76,1,1,2,+0-0,0.6666666666666666,1.597606175341804,1
phistar_50_76,1,1,2,+00-,0.9166666666666666,0.5932417368820443,1
